device_id,dev_eui,dev_addr,timestamp,temperature,humidity,barometric_pressure,analog_in_1,analog_in_2,rssi,snr,latitude,longitude,gateway_id,frequency,spreading_factor,bandwidth
device-1421,17669928E64F8F85,EFADA28B,2025-04-10T15:03:39,-0.4,71.79,1013.4,2.08,0.58,-85,-3.55,-7.686834,152.302412,husband-material,869500000,9,125000
device-4636,6DF69D422E874A7F,1A8C4689,2024-11-16T23:31:55,4.86,27.93,982.5,2.28,2.42,-111,-3.07,43.340565,-76.520866,senior-different-if,868300000,8,250000
device-0949,9DC23B1219151C94,AB4840C0,2025-04-26T13:48:08,35.31,82.7,991.4,3.31,3.59,-117,-12.0,22.631648,133.224162,kind-perhaps-enough,867100000,8,125000
device-4616,DF7964D18C0A783A,E315643E,2025-05-26T19:58:28,12.39,76.95,994.1,3.07,2.99,-118,-7.06,-56.111084,48.440478,campaign-since,868300000,12,250000
device-2129,56D5761B74AD21AA,F779F9A5,2024-10-20T00:52:52,43.58,63.03,998.8,3.25,0.93,-41,12.82,55.642889,-122.957977,air-letter-certain,869500000,12,250000
device-4097,D435A167609B4CBD,51E40DFF,2025-06-25T17:23:26,34.05,85.5,1013.1,4.95,4.39,-119,4.5,-19.860189,165.509204,bit-general-that,867100000,7,250000
device-0172,F44AA71E4BAA2C9C,4D581A6B,2024-11-18T16:01:25,-0.59,87.29,980.9,4.51,4.27,-76,1.41,48.898019,151.464696,with-place-form,868300000,7,250000
device-0013,F9276C4BD98184FD,EB499D07,2024-09-28T16:24:12,-0.78,31.89,951.0,1.88,3.81,-92,-19.08,-67.274301,-139.98315,usually-me-expert,867100000,9,125000
device-1614,93EDF8A1BFBF0502,C106A5E2,2024-09-05T02:44:00,45.73,49.07,1043.1,1.32,0.91,-30,-3.25,64.993091,-163.306363,recognize-father,868300000,10,125000
device-0951,6F8C2EA5A4AD81A5,7B56DA38,2025-03-19T16:18:46,21.6,58.15,1047.8,4.91,1.28,-93,3.42,-71.482854,-102.461643,audience-nice-also,867100000,9,125000
device-3371,BF57F785222F8D5F,BB269DB5,2025-02-02T05:40:05,45.91,86.07,1019.5,3.12,1.52,-101,-4.29,14.103461,-5.490765,so-piece-this,869500000,7,125000
device-4894,E16F1DD4421BCC07,E64257A2,2024-12-18T23:37:18,14.14,11.44,1040.2,4.77,1.38,-51,13.93,-15.163165,-118.843917,nation-up-wife,869500000,10,250000
device-2575,2AC686645693AB0D,935146F3,2024-10-07T12:09:47,48.3,67.67,1024.5,1.09,2.24,-96,-16.42,-21.594799,-51.644945,clear-machine,868300000,11,125000
device-1595,CCFE80A1C7EDC7D0,040B64D9,2024-12-10T01:06:11,-0.33,85.48,968.7,3.47,1.05,-85,-1.98,-28.987128,115.867976,matter-want,867100000,9,125000
device-2740,C0E776A12BCD54E1,67BB9B92,2025-05-01T03:13:12,31.64,44.32,1046.8,3.75,1.74,-89,-18.54,-40.429055,133.350927,opportunity-whom,869500000,9,250000
device-2888,17A1315D77192035,0BB29BC4,2025-04-08T16:44:22,4.82,26.39,963.5,3.84,3.21,-85,-10.81,-47.420774,-22.46048,eat-analysis,867100000,12,250000
device-4816,CB3E936D37560BE3,071C0C83,2024-07-25T18:39:53,34.82,70.07,1002.0,0.93,1.58,-45,1.52,52.400907,-49.711842,officer-before,868300000,10,125000
device-0584,57CACBA445174CDF,B663C6B7,2024-11-06T20:42:02,7.42,27.08,1039.3,0.68,0.97,-76,-12.15,-10.411789,-76.945136,officer-any,868300000,12,250000
device-3176,FA49B65CFDE7C307,0D953DC7,2025-07-08T08:09:55,-0.68,37.77,953.8,3.38,3.94,-89,9.38,-85.666099,-123.450745,defense-authority,867100000,8,125000
device-1480,820710597720BF30,D1F9B547,2024-08-23T03:01:11,18.82,86.34,1022.5,1.4,1.87,-85,-12.94,87.635149,-75.742614,next-high-bit-fish,869500000,10,125000
device-4254,9D4EA4E9200B3E8C,DC8B9FB8,2024-10-07T17:46:07,40.81,33.33,1041.1,3.41,2.53,-106,14.08,20.021516,91.069418,even-positive-hand,868300000,8,250000
device-2177,5E6BBA9C7B7BC2D9,09D97556,2024-11-13T14:24:29,39.35,48.96,984.5,2.33,3.55,-45,-11.08,-72.835135,148.174985,shoulder-morning,868300000,8,125000
device-4672,09053785A10CD37B,FC4DC589,2025-06-22T20:20:46,16.37,38.87,1048.6,3.71,0.82,-45,-0.89,51.791553,79.449276,behavior-free-tree,868300000,8,125000
device-0944,024DD9552677D5F4,A9AE5642,2025-03-21T05:29:11,-9.8,65.98,984.6,2.55,2.23,-82,-9.36,-28.660031,-73.476142,strategy-size,867100000,9,250000
device-0149,0AE8162783EE4296,91AD2B76,2024-12-19T15:05:59,19.3,32.19,989.8,3.68,1.72,-87,11.88,32.008149,-71.845707,ground-development,867100000,8,250000
device-1766,E2FCF4F0876EE5D4,9944E0A4,2024-12-16T09:11:56,6.33,59.47,977.3,2.51,2.68,-84,14.58,-72.014538,12.853582,according-similar,868300000,7,250000
device-0404,9338F0B48E8D45EF,360467A6,2025-01-01T23:03:12,49.34,23.32,967.8,4.22,2.02,-97,-7.72,3.467044,-145.829196,if-model,869500000,8,125000
device-0038,2741DF30D8AD30E3,80F87631,2024-08-27T05:11:34,19.72,63.05,958.2,2.45,1.07,-58,1.58,-56.793692,-63.796518,image-until,868300000,11,125000
device-2694,67611791E5323CBD,A078BA06,2025-03-13T02:35:35,-5.9,28.07,1047.4,2.65,0.53,-32,-10.8,33.988398,78.957122,report-director,867100000,7,125000
device-1607,D6E44FFFAB3933C5,EEFF486E,2025-03-16T15:42:31,47.77,48.28,965.4,3.16,2.85,-52,7.27,55.502285,108.331788,media-add-method,867100000,8,125000
device-2696,2D5CD28F83DFD517,877E354C,2025-01-27T12:16:48,16.38,61.11,1033.3,3.5,2.06,-93,-15.06,39.897514,78.5186,responsibility,867100000,7,125000
device-4026,BE6E2C6C480F7305,059D649F,2025-05-14T01:14:45,10.95,80.69,1012.3,3.06,4.83,-66,-6.73,-37.940289,23.586925,many-down-tell,869500000,11,125000
device-2138,3F96DB99C76EA361,E22B9027,2025-06-01T12:59:59,34.19,25.77,1046.7,2.56,4.42,-41,12.03,86.416127,5.30909,light-see-simple,867100000,10,125000
device-1045,C801E3B0F94993FC,15943511,2024-11-08T09:28:46,19.11,65.07,981.6,3.68,2.92,-67,12.87,-66.488115,-144.939596,black-my-most-trial,869500000,12,125000
device-2809,6EBAAF1CE47DBDF9,807DE8F2,2025-02-24T02:01:50,40.76,26.06,987.1,1.82,2.59,-71,3.03,-4.935565,13.683717,into-eat,869500000,8,250000
device-2546,689A96F426D864CE,CA0C227E,2025-05-09T03:11:05,45.76,36.05,954.7,1.69,4.16,-47,3.51,-71.01362,18.293891,car-whom-college,867100000,9,125000
device-3517,63A105E5D3879ED6,E38E8946,2025-04-22T05:03:53,34.49,43.82,993.4,1.42,4.92,-89,-7.76,8.700307,143.544244,watch-yet-all,868300000,8,250000
device-1991,EF1F88FBC2A60795,E813ABA9,2025-02-23T04:59:08,37.47,18.18,1033.0,4.35,3.02,-71,-10.01,-9.024652,31.171051,store-bank-area,869500000,8,250000
device-0711,9331D56C3405FD1A,937057E7,2024-09-02T03:37:32,6.37,37.19,974.4,2.68,4.49,-90,-5.15,8.778028,-138.051809,ever-design,868300000,8,125000
device-4176,3310253B899D821B,F1B189A3,2025-01-11T00:13:44,37.99,37.84,968.1,1.16,4.98,-67,-14.17,-37.913975,-74.632581,particular-argue,869500000,9,250000
device-0774,D4ABE3723A853810,4BFA706C,2025-05-07T12:55:58,46.79,59.85,986.9,4.96,2.73,-53,-1.26,-29.771691,-126.991659,accept-without,867100000,9,250000
device-1761,AD898EA4CAEE5611,2F9286E5,2024-12-17T07:33:31,12.54,14.02,1036.9,1.24,4.11,-99,6.17,10.830511,46.983384,smile-light-high,869500000,11,125000
device-0885,B3E2ECCAEA6AD915,E023F708,2025-02-27T21:49:14,27.35,47.44,950.1,3.61,1.99,-89,-12.05,16.819177,21.075184,concern-article-now,868300000,11,250000
device-1076,79826B87AC0965AC,CAD0D0D8,2024-08-27T16:42:26,20.6,40.32,1045.2,3.36,1.32,-48,-16.98,43.42618,172.583364,forward-realize,868300000,10,125000
device-0410,A020E13C1769BA72,73DC6B7E,2024-12-20T05:44:33,48.71,84.09,999.4,2.92,2.58,-60,-11.7,-4.593707,51.700301,team-mr-myself-see,867100000,8,125000
device-4716,F531B0F1D76DC293,263A804F,2024-09-17T09:50:34,31.08,51.9,1016.7,1.06,3.46,-47,12.86,51.426133,-48.705151,seven-stuff-success,867100000,8,125000
device-2508,1B119638EC3A48CD,2887D4AC,2024-07-21T16:26:07,24.12,60.38,1010.3,3.38,3.09,-85,-17.55,0.686093,-123.468369,box-entire-ten,869500000,10,250000
device-0764,E54AB03E0FAFA37D,8B08BCE3,2025-03-08T15:59:41,46.05,32.6,1026.0,3.44,1.39,-92,10.71,-40.648977,57.14303,admit-mr-center,867100000,12,125000
device-2766,CBEE0609F34E824B,F7C5AC35,2024-12-09T22:18:59,28.34,83.26,959.1,1.65,3.67,-81,-3.22,-45.920498,118.627822,the-lay-state,869500000,9,250000
device-1561,90EEFAF7085745DE,81062175,2025-06-05T03:23:09,25.84,19.58,990.1,2.11,1.0,-49,13.55,63.2821,104.741257,get-rate-along,867100000,10,250000
device-0395,1610ED86B7A834F4,E15B9341,2025-02-06T15:11:01,36.57,34.67,984.6,3.16,1.06,-115,8.23,6.990691,175.967999,century-treatment,868300000,9,250000
device-4018,EB5B58F678CED817,DE2F2C79,2024-11-10T09:13:40,-0.94,35.66,966.9,3.77,4.44,-59,5.36,-39.384182,-159.237284,data-or-buy,867100000,9,125000
device-0431,ED7FD81DE0B84E77,8B90A354,2025-07-11T16:02:36,-0.36,65.69,976.3,2.09,2.86,-111,-19.88,15.313851,28.726232,commercial-family,868300000,11,250000
device-3295,AECFB0FAF4479276,E976D336,2025-05-17T15:44:36,13.15,60.12,1002.7,4.83,1.6,-86,-2.0,-62.036856,-23.712204,history-tonight,868300000,7,250000
device-0494,15DB68F5B57EE074,4DE565CA,2024-08-28T03:29:45,44.13,64.64,1038.1,1.12,4.3,-75,0.65,-5.93908,31.654737,brother-home-fly,869500000,9,250000
device-3713,D94B877A599273C1,B9CA591B,2025-05-31T21:26:30,-7.93,77.48,954.3,3.34,2.67,-94,-7.54,-69.141836,119.662353,himself-beyond,868300000,12,250000
device-2791,4DDFF6F284136B3E,1464A713,2025-02-10T10:40:08,39.63,40.69,1032.7,2.98,1.5,-120,3.3,19.016978,42.87034,help-family-local,868300000,12,125000
device-1487,D6B39D32986379DA,15287862,2025-02-10T21:44:06,28.32,42.72,989.7,3.41,0.85,-76,9.49,-24.786531,175.84011,accept-stop-general,868300000,7,125000
device-2879,1614BCDA73B52ABF,225F2E8E,2025-06-26T21:26:15,43.35,88.39,1012.6,4.01,4.01,-96,13.69,-58.739936,-156.59569,probably-minute-cut,867100000,8,125000
device-1064,BCA2E9C50B2F37ED,36E0F71A,2025-03-16T00:32:24,-5.38,44.93,1009.1,2.68,0.71,-76,11.16,17.515434,-4.259424,citizen-agent,869500000,12,125000
device-2192,92AE0F563115FB6A,D120714E,2024-10-10T18:25:51,-4.51,55.8,1042.2,1.95,3.48,-47,-12.03,-9.450828,152.519105,experience-through,867100000,9,250000
device-1155,C69646DC65ACDC2F,7AA502AD,2025-07-02T01:37:26,44.85,78.52,991.8,3.75,1.42,-38,9.32,-75.083569,36.278927,whole-realize-item,868300000,11,125000
device-2798,18A515DFB4DD6555,7399776A,2025-06-19T13:52:31,35.46,51.66,1043.0,3.01,2.03,-96,10.95,-68.588402,49.971167,article-energy,867100000,11,125000
device-2624,078A321FA01F29C7,DB5D488F,2024-12-02T12:22:40,8.52,34.25,1011.9,3.73,2.48,-44,-10.36,37.398215,-109.643351,school-article-ten,869500000,8,125000
device-2886,CC8FC8B5B16F9092,1B91EA74,2024-08-05T02:01:59,-8.5,77.04,1031.8,4.36,3.57,-73,-0.79,-65.357569,-16.075107,customer-cover-live,867100000,12,125000
device-2777,E67E1B1B63ECA04D,7B52B029,2025-05-04T07:58:03,38.16,23.99,1043.8,4.02,2.04,-40,8.79,49.937119,35.650155,church-peace-act,869500000,11,125000
device-2123,27AF99FB6671D508,E5E610C5,2024-08-25T03:26:11,47.86,22.82,1013.2,1.19,3.98,-55,5.58,69.621014,-51.072962,rule-executive-too,868300000,7,125000
device-1126,F93788058D01415C,79C540F6,2025-02-27T00:49:08,10.22,22.92,963.2,3.85,1.53,-83,5.81,49.412375,72.90769,condition-letter,867100000,9,250000
device-2718,5A2317F8F3206B3A,99E47BCB,2025-03-03T09:34:47,23.38,39.71,1033.3,2.77,3.14,-51,11.62,-28.500656,-149.420989,fish-approach-list,867100000,8,250000
device-0942,E7B9CD736C1FF4CE,37E52291,2025-04-04T23:18:29,40.65,13.61,991.3,2.27,4.63,-65,3.33,-89.158037,-66.99169,when-pull-make,868300000,11,250000
device-0531,2A00FDEDAFC0E0A3,DE01D310,2025-04-08T18:14:46,2.34,59.3,1034.0,0.87,3.0,-118,-7.96,-2.725964,-179.69346,everyone-necessary,869500000,9,250000
device-3608,15C92C6357E42A49,1CD4CC92,2024-11-22T03:43:30,44.34,64.12,965.5,2.52,3.18,-65,1.04,-21.123871,-59.793347,easy-worker-would,867100000,8,250000
device-3079,F6005B2CE6EFBF38,D114AFAA,2025-02-21T01:22:47,-3.19,81.49,999.3,2.25,3.56,-54,-16.49,-44.494946,-44.44341,between-raise,867100000,11,125000
device-0514,56B59CCE1642252D,A416F17F,2024-09-17T19:40:47,25.06,34.17,1020.6,0.72,2.58,-96,-14.8,1.994085,-108.882371,smile-star-current,868300000,8,250000
device-1839,575D0A5A4ECC1525,A5EAD078,2025-03-14T11:36:34,19.23,68.61,975.0,2.0,2.89,-80,-9.3,-21.344751,4.906945,book-address,868300000,12,125000
device-1984,54C04FE40AF9238B,0B5888C5,2024-09-06T17:00:12,31.34,78.97,1034.5,4.34,3.24,-53,-18.15,-17.094578,-95.836751,newspaper-bill-give,869500000,12,250000
device-1875,F442475B7BDBFD36,3A3509AF,2025-01-24T07:15:31,-4.3,71.31,1045.3,1.53,4.1,-85,13.55,1.202295,40.916153,decision-sport,868300000,10,125000
device-3941,3AFBDC78968D1F93,7945E716,2024-12-02T18:39:33,-4.84,85.28,1024.4,2.81,1.25,-101,4.57,83.123752,22.471806,trouble-close,868300000,9,250000
device-1752,A9E370F7D0DC56DA,4EF1E8B4,2024-09-24T10:12:13,46.24,42.83,1038.8,2.47,3.4,-88,6.5,6.380619,39.722958,picture-start,869500000,12,250000
device-3536,5E6350ABADB0DF0D,930CF351,2024-12-03T09:03:50,45.33,44.0,984.2,3.34,3.12,-91,-14.33,-46.556626,-163.768973,draw-one-think,868300000,8,125000
device-0425,50740327FE5DCB4F,42880F26,2024-09-17T09:19:33,-6.86,72.31,1034.9,1.91,3.67,-37,11.01,1.164075,-179.350197,close-tough-manager,867100000,10,125000
device-3661,1240D6A808177E22,3924C25B,2025-07-03T06:34:13,6.6,70.19,976.9,1.89,1.58,-79,4.21,-60.053476,72.040833,them-explain,867100000,11,125000
device-2105,13A6332B3540296B,9E069F39,2024-08-13T01:52:04,18.94,87.67,981.9,3.61,0.79,-56,-5.52,52.848227,154.578561,be-know-throw-bag,868300000,9,125000
device-3871,FB890CA68707C5D4,DFA557B1,2024-07-29T13:04:27,-0.4,83.89,1048.8,1.51,5.0,-49,-13.03,60.86262,-128.091239,stock-pay-fall-door,869500000,7,125000
device-0652,3B4FFB8DCB6E0089,72D626A2,2024-12-14T17:19:08,32.95,77.43,1023.1,1.57,0.5,-60,11.72,-35.122121,132.031051,your-statement,868300000,10,125000
device-1490,5FA371AB52750586,07142D69,2025-05-20T00:21:22,46.69,85.68,992.7,0.61,4.73,-105,-14.4,-41.080981,-23.082395,student-manager,868300000,8,125000
device-1863,250D9AE68FC5213C,74A15890,2024-09-19T05:01:17,18.13,71.67,993.7,2.98,1.29,-68,4.49,87.931556,-30.40901,process-check,868300000,8,250000
device-1576,13243A1EEB68C8F8,4684D7F6,2025-01-14T18:18:01,3.64,13.34,979.2,1.77,1.01,-77,10.72,-19.797524,113.702376,provide-find-home,868300000,11,125000
device-4670,B546A872944A9BF3,04D52134,2024-12-10T03:57:23,-1.2,17.68,955.8,3.31,2.09,-70,-11.39,23.052432,78.26462,serve-still-himself,868300000,12,250000
device-4541,FD24FEB36300BA3E,9820DA28,2025-06-17T23:00:12,-6.01,80.74,1038.9,0.53,1.33,-66,8.66,85.370337,168.268533,test-fund-blue,869500000,9,250000
device-1674,8D04F0E83CE4E440,7383D616,2024-08-17T20:24:30,10.2,70.86,987.7,1.41,2.61,-92,-7.61,32.837265,-2.418368,participant,867100000,7,125000
device-3006,D934395F46C314C2,1F1750FA,2025-02-16T01:12:32,-4.51,29.35,1049.9,1.95,4.36,-51,11.78,69.841621,-45.986721,health-car-remember,869500000,12,250000
device-1689,4AAE3ECD4CBADFF2,109A498A,2025-02-11T14:10:06,5.11,31.28,983.2,1.5,0.71,-58,4.4,-19.550839,175.972238,here-admit-remain,867100000,12,250000
device-3172,86D03304A96C1249,99E70BA1,2025-07-14T21:39:33,13.91,36.02,1048.3,4.56,3.86,-96,7.04,60.797226,99.369602,perform-way,869500000,12,125000
device-0492,253EAE4B1D450313,0C55DD6E,2025-02-04T13:05:39,21.23,89.29,1044.0,2.18,2.23,-50,10.02,-64.163265,173.298398,someone-change,869500000,8,250000
device-0898,554E107D297E9C7C,BEF4C114,2025-04-29T12:29:48,23.34,62.71,1009.5,1.66,1.01,-87,-15.41,-58.39082,-136.35214,sell-big-you-all,868300000,9,125000
device-3618,0AB65C237D7C7F12,D9E01A04,2025-05-23T09:49:26,31.34,42.85,1009.5,2.71,4.73,-69,1.67,86.257226,-131.087363,republican-better,869500000,9,125000
device-1128,891C6ED41A15D466,D3DDC02F,2025-01-01T15:17:13,0.85,27.42,999.4,1.92,1.12,-89,14.08,10.481965,-122.702103,possible-grow-want,867100000,10,125000
device-2067,6212BDB466CDC61A,E269A426,2025-05-20T12:29:53,22.97,18.54,984.5,4.3,2.94,-44,10.33,-82.49991,100.057803,agent-site-adult,867100000,12,250000
device-2312,FC1D55450262618E,0F0D3556,2024-07-30T11:52:56,37.54,37.64,981.4,3.89,3.24,-82,-12.64,-87.367046,-24.907405,long-above-girl,867100000,7,250000
device-2333,044039E3C66A9E45,8A8115CB,2025-04-18T16:37:25,36.43,26.03,1021.3,1.01,3.82,-94,-5.8,13.452001,-84.112263,produce-professor,868300000,12,125000
device-3610,E11F02B7A32E10B2,634EFE4E,2024-07-19T11:59:51,-6.51,61.53,962.1,2.82,0.68,-115,-16.39,32.279665,-71.62229,believe-quality,867100000,11,125000
device-3995,B4271C9DA450D91F,D68A501E,2025-01-26T21:52:02,13.29,30.13,1031.8,3.81,3.18,-103,-5.11,-4.472278,39.868465,position-get-value,867100000,11,250000
device-0131,E5DE9FCF54FB8060,EC765B4A,2024-11-23T13:05:57,26.7,65.62,1049.2,2.73,2.42,-106,-15.25,-0.108725,-164.740283,paper-southern,869500000,8,250000
device-2863,8F98E01E7C6879C8,628D3FBB,2025-06-02T22:54:27,22.24,81.5,1027.9,0.95,3.56,-56,13.96,15.670231,74.658807,democratic-school,869500000,7,125000
device-2439,6DEB280FEBA3E815,0015D4B5,2025-04-25T05:11:34,3.83,37.5,1034.1,4.42,4.9,-88,-13.21,-89.331888,-164.776295,environmental-try,867100000,10,250000
device-3899,61C0D9DE747164FC,E1F9A810,2025-06-05T11:16:18,22.46,39.37,1004.6,1.4,1.33,-41,4.61,-75.811062,-95.878775,home-source-example,868300000,10,250000
device-4306,93D5EF3197590BEB,AD5B1FC2,2025-05-09T13:34:18,34.92,37.03,1041.9,2.03,1.85,-120,-2.3,-76.069239,11.855562,over-account-value,869500000,12,250000
device-2031,D82D6741189C9654,DFF96A95,2025-02-13T20:22:44,-0.29,61.41,1023.8,3.51,4.05,-79,-3.13,-88.423007,116.052547,those-boy-get,869500000,8,125000
device-1420,49EB573B28532185,25A009E0,2025-01-18T06:51:40,29.31,25.84,1010.3,2.99,3.81,-78,-1.39,81.864179,39.160999,very-number-trade,869500000,8,125000
device-3225,199D9D397FBF9D0C,87202073,2024-09-24T05:39:31,15.15,73.45,1019.3,1.04,3.84,-93,-15.1,-76.30711,45.381653,artist-his-whole-we,867100000,9,125000
device-1459,279FE37172D24EF4,6B5E9129,2025-03-14T23:52:21,-8.25,78.86,1018.3,4.77,2.57,-88,-19.77,-38.542103,129.460545,foot-similar,869500000,10,125000
device-1626,0C4E2077CD265F5D,DEFE42A0,2025-02-27T10:22:27,47.43,20.64,968.9,3.05,1.11,-114,-11.87,-40.235663,40.451522,describe-start,869500000,9,125000
device-0965,A12A2318DC000179,13882536,2025-02-04T11:28:47,7.07,41.67,1031.2,1.7,4.07,-119,-19.68,-25.095007,-150.373283,forward-interview,867100000,12,250000
device-4789,CBE79C42E9572C83,96B8E827,2024-11-07T04:54:55,-7.12,34.56,979.7,2.36,4.49,-116,8.67,23.421496,103.695645,whose-environment,867100000,11,250000
device-1156,A242C4CE2C4A0CDC,07EA9CC1,2025-01-19T02:43:29,42.71,82.1,1037.2,2.14,1.97,-75,-19.93,65.068259,113.932945,opportunity,869500000,7,125000
device-3317,C4A47E04D7DEC5CD,35B09905,2024-07-24T22:44:18,40.29,48.02,1046.1,3.81,3.31,-61,2.54,38.796412,-135.225959,strong-wrong-travel,868300000,9,125000
device-1735,24F0536A7C80DC1A,33AB96CD,2024-10-01T20:06:39,40.67,71.15,972.0,2.98,2.5,-97,13.47,44.726302,-97.767915,scientist-rich,868300000,8,125000
device-3064,848849E25C8304C6,18B24867,2025-04-26T21:39:48,-6.02,51.08,956.5,1.87,1.84,-86,-16.97,12.477251,68.296681,discuss-across-hot,867100000,10,250000
device-4774,72AB3DECE2798EBD,4F96713D,2025-06-24T02:53:25,12.27,21.79,989.3,0.58,3.98,-86,-8.72,-74.268071,111.083907,another-despite,869500000,9,250000
device-4715,43B49973CA54066B,BD8B6E32,2024-09-14T07:03:03,5.37,71.1,1033.2,2.6,2.07,-101,4.16,-32.254711,0.455206,assume-control,868300000,12,125000
device-1551,0DB74F6A3D161834,E1E7223C,2025-01-02T23:50:53,14.44,47.63,962.7,4.15,4.01,-77,-11.28,22.755024,-90.24316,according-matter,868300000,8,250000
device-3818,E1AE3CCC1BA10F37,6B535F80,2024-08-30T16:20:59,45.09,32.56,1019.1,0.59,3.76,-77,6.8,-87.783169,97.877258,recent-yeah-until,867100000,12,125000
device-2355,4F191B41D4E8F6B5,59ED0D0A,2024-08-27T18:06:30,14.25,28.01,1034.2,3.34,1.46,-98,-15.68,66.716851,127.48019,spring-television,869500000,7,125000
